County Name,Station Name,OIS #,Station Address,Phone Number,Inspects Passenger Cars and Light trucks,Inspects Medium Trucks,Inspects Heavy Trucks,Inspects Motorcycles,"Inspects Light Trailers Less Than 10,000 lbs or less","Inspects Heavy Trailers over 10,000 lbs."
ADAMS,Aspers Auto Care Llc,KQ57,"1409 CARLISLE RD , ASPERS PA 17304-9708",717-677-4278,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ADAMS,Auto Repair Clinic Inc,K962,"36 LOCUST ST , GETTYSBURG PA 17325-7831",717-334-5311,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Bankert'S Garage Llc,DB27,"168 FERN DR , NEW OXFORD PA 17350-9571",717-624-0420,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Battlefield Harley Davidson,J613,"21 CAVALRY FIELD RD , GETTYSBURG PA 17325-8272",717-337-9005,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,B&C Auto Menders Llc,BK58,"672 KNOXLYN ORRTANNA RD , GETTYSBURG PA 17325-7314",717-337-1040,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,Beckley'S Rv Sales Ltd,AQ31,"4643 YORK RD , NEW OXFORD PA 17350-9132",717-624-1585,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,Bergey'S Subaru,DZ93,"1726 CARLISLE PIKE , HANOVER PA 17331-8970",717-637-6664,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Bermejo Auto Sales Llc,FQ01,"4457 YORK RD , NEW OXFORD PA 17350-9404",717-624-2424,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ADAMS,Blacks Kustom Cycles And Fabrication Llc,FD87,"175 WENSCHOFF RD # B , FAIRFIELD PA 17320-9252",717-420-2589,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Bowers Used Cars Inc,0822,"7015 YORK RD , ABBOTTSTOWN PA 17301-9774",717-624-7072,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Breighners Tire,6509,"1705 HANOVER PIKE , LITTLESTOWN PA 17340-9607",717-359-5642,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Cafe Custom Cycle Llc,J073,"2630 HUNTERSTOWN HAMPTON RD , NEW OXFORD PA 17350-8732",717-624-7820,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Caledonia Power Sports,J734,"6210 CHAMBERSBURG RD , FAYETTEVILLE PA 17222",717-401-0379,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ADAMS,Cd Cain Auto Parts Inc,KH83,"695 BECK RD , GETTYSBURG PA 17325-8324",717-624-9393,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,C & G Auto Llc,AP25,"1239 ARENDTSVILLE RD , BIGLERVILLE PA 17307-9821",717-677-9833,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Ciocca Hncdjr Inc,FA53,"1825 CARLISLE PIKE , HANOVER PA 17331-8970",717-637-1101,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Clean Cut Cycles Llc,FA76,"5770 CARLISLE PIKE , NEW OXFORD PA 17350-8905",717-688-7464,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Clines Auto Worx Llc,EQ02,"1489 CRANBERRY RD , YORK SPRINGS PA 17372-8853",717-321-4929,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Cnt Automotive,KU78,"4050 HANOVER RD , HANOVER PA 17331-8906",717-676-3389,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Corvair Ranch Inc,5626,"1079 BON OX RD , GETTYSBURG PA 17325-8312",717-624-2805,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Custom Off Road Equipment Llc,DY18,"2066 BIGLERVILLE RD , GETTYSBURG PA 17325-8040",717-420-6900,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,C & W Performance,E7,"7730 CARLISLE PIKE , YORK SPRINGS PA 17372-9524",717-528-8225,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Dave Munshour'S Moon'S Ii,AD10,"1742 UPPER BERMUDIAN RD , GARDNERS PA 17324-9578",717-528-7163,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,David L Cooks Auto Service,2759,"1939 FREDERICK PIKE , LITTLESTOWN PA 17340-9755",717-359-9586,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,David Rymans Auto Service,9963,"1320 OLD CARLISLE RD , ASPERS PA 17304-9738",717-321-5531,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Davids Auto Sales Inc,AX13,"1345 CARLISLE RD , ASPERS PA 17304-9665",717-677-7097,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Dennis Riley Auto & Truck Ser.,X243,"1809 BARLOW TWO TAVERNS RD , GETTYSBURG PA 17325-7079",717-359-4594,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Denny'S Body Shop,DP65,"30 HIDDEN ACRES DR , NEW OXFORD PA 17350-9503",717-624-4401,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Diesel Pro Inc,KF42,"720 W ELM AVE , HANOVER PA 17331-4703",717-698-1289,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Dw Automotive Services Llc,CT58,"335 SUTTON RD , ABBOTTSTOWN PA 17301-9779",717-259-8333,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Erbs Auto Transmission Svc,L387,"213 S 5TH ST , MC SHERRYSTOWN PA 17344-2004",717-632-9616,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Excalibur Towing,6985,"807 OLD HARRISBURG RD , GETTYSBURG PA 17325-8549",717-337-1512,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Fairfield Auto Service Llc,KJ97,"207 W MAIN ST , FAIRFIELD PA 17320-9186",717-642-8611,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Fidler & Sons Auto Works Llc,KN97,"325 SHRIVERS CORNER RD , GETTYSBURG PA 17325-8136",717-677-0012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Frankies Storage Towing & Repa,DT24,"3757 BALTIMORE PIKE , LITTLESTOWN PA 17340-9569",717-359-7237,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Gene Latta Ford Inc,A809,"1565 CARLISLE PIKE , HANOVER PA 17331-8816",717-633-1999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMS,Getty Acres Farm,KH53,"555 RENTZEL RD , GETTYSBURG PA 17325-7538",717-334-6993,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Gettysburg  Economy  Car Rental  Inc,4757,"535 YORK ST , GETTYSBURG PA 17325-2010",717-337-2664,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Gettysburg Transmission Llc,BK37,"22 WEIKERT RD STE 100 , GETTYSBURG PA 17325-7206",717-642-9700,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Gladhills Service Center,AC23,"1316 OLD WAYNESBORO RD , FAIRFIELD PA 17320-8901",717-794-2007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Gravel Hill Garage,P903,"295 BAKER RD , FAYETTEVILLE PA 17222-8311",717-749-3395,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Greg'S Auto And Truck Repair,X994,"1935 E BERLIN RD , NEW OXFORD PA 17350-9633",717-624-2926,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
ADAMS,Growers Equip Center Inc,3152,"53 SOUTH 3RD STREET , BIGLERVILLE PA 17307-0706",717-677-7133,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Grow Mart F.S. Inc,7953,"3150 STONEY POINT RD , EAST BERLIN PA 17316-9654",717-880-9960,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Hanover Nissan,EG08,"75 W EISENHOWER DR , HANOVER PA 17331-1145",717-637-1121,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,"Hanover Team, Inc",CE26,"1800 CARLISLE PIKE , HANOVER PA 17331-8970",717-451-1007,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Hanover Volkswagen,KT02,"1850 CARLISLE PIKE , HANOVER PA 17331-8970",717-797-4721,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Hendrick Viersma Auto & Tk Rep,K407,"451 BARLOW GREENMOUNT RD , GETTYSBURG PA 17325-8714",717-752-0358,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,H & F Tire Service,KB40,"702 W ELM AVE , HANOVER PA 17331-4703",717-632-8808,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,"Hillside Auto Repair, Llc",CY17,"2394 HARNEY RD , LITTLESTOWN PA 17340-9377",717-451-3628,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Irishtown Truck & Auto Repair,BK43,"1745 STORMS STORE RD , NEW OXFORD PA 17350-8440",717-634-7911,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Jacoby'S Tire & Auto Llc,EZ82,"687 YORK ST , GETTYSBURG PA 17325-2002",717-465-7258,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,Jacoby Transportation,P266,"2350 BIGLERVILLE RD , GETTYSBURG PA 17325",717-677-7733,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMS,Jeffrey M Southerly,EE92,"825 LOW DUTCH RD , GETTYSBURG PA 17325-8214",717-253-0251,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
ADAMS,J & J Auto Repair,6384,"310 RED BRIDGE RD , GETTYSBURG PA 17325-7639",717-337-1110,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Johnsons Auto Service,AP15,"2420 BIGLERVILLE RD , GETTYSBURG PA 17325-8092",717-677-7482,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Jsc Llc,KG71,"1035 DICKS DAM RD , NEW OXFORD PA 17350-9783",717-465-5400,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Kauffmans Repair,B918,"617 3RD ST REAR , HANOVER PA 17331-4816",717-637-5229,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Keisers Performance Auto Repair,BW03,"1935 YORK RD , GETTYSBURG PA 17325-8206",717-334-4845,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Keith'S Pit Stop,P693,"2784 YORK RD , GETTYSBURG PA 17325-8229",717-334-3153,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
ADAMS,La Casa De Los Mecanicos Llc,AI02,"1157 700 RD , NEW OXFORD PA 17350-9771",717-634-1409,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Lady & Taylor Body Shop,L89,"2293 HEIDLERSBURG RD , GETTYSBURG PA 17325-7681",717-528-4196,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Lambert General Repair Llc,FM05,"3920B CHAMBERSBURG RD , BIGLERVILLE PA 17307-9540",717-220-3509,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ADAMS,Lawrence Body Shop Inc,B825,"222 RIDGE AVE , MC SHERRYSTOWN PA 17344-1415",717-637-2865,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,L&B Auto Repairs And Sales Inc,AC05,"660 MOUNT TABOR RD , GARDNERS PA 17324-9608",717-677-0077,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,L E Auto,N004,"303 E KING ST , LITTLESTOWN PA 17340-1617",717-359-7826,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ADAMS,Lees Automotive Repair Llc,L908,"20 S 5TH ST , MC SHERRYSTOWN PA 17344-1821",717-637-1511,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,"Liberty Rv Of Gettysburg, Llc",CS06,"40 KNIGHT RD , GETTYSBURG PA 17325-8766",717-334-0149,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Lincolnway Sales And Svs Inc,T931,"586 W KING ST , ABBOTTSTOWN PA 17301-9101",717-624-8500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMS,Littlestown Auto Care Center,T821,"89 N QUEEN ST , LITTLESTOWN PA 17340-1336",717-359-4854,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Littlestown Lube & Brake,AX12,"191 GEORGETOWN RD , LITTLESTOWN PA 17340-9161",717-359-5022,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Littlestown Shell Inc,L644,"400 N QUEEN ST , LITTLESTOWN PA 17340-1224",717-359-0461,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,L & M Garage Llc,DV40,"630 HOOVER SCHOOL RD , EAST BERLIN PA 17316-9571",717-259-0311,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMS,Mae'S Auto Repair,KT33,"35 BELMONT RD , GETTYSBURG PA 17325-8489",717-337-3560,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,Manzos Motors,CI75,"190 PARK ST , ASPERS PA 17304-9602",717-677-4206,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Mar - Bar Tire Service Inc,KK28,"4285 HANOVER RD , HANOVER PA 17331-7752",717-633-6412,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Martys Body Repair,8662,"1044 KOHLER MILL RD , NEW OXFORD PA 17350-9519",717-624-7666,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Mathias Service Center,BQ05,"1109 LOCUST LN , LITTLESTOWN PA 17340-9657",717-521-7861,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Matt Breams Auto Repair Llc,594,"644 3RD ST REAR , HANOVER PA 17331-4815",717-637-4314,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,"Mavis Tire Supply, Llc",CK14,"1324 CARLISLE PIKE , HANOVER PA 17331-9595",717-797-0224,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Meadowbrook Auto Sales,2961,"875 ABBOTTSTOWN PIKE , HANOVER PA 17331-8206",717-632-9600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,M & E Auto Sales,6157,"2902 HEIDLERSBURG RD , YORK SPRINGS PA 17372-9561",717-528-8398,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,Mezzy Service Center,AD38,"4535 BALTIMORE PIKE , LITTLESTOWN PA 17340-9773",717-359-9393,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Milhimes Automotive,BP38,"1155 CHAMBERSBURG RD , GETTYSBURG PA 17325-8459",717-337-9180,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Miller'S Transmissions,M351,"48 HUNTERSTOWN HAMPTON RD , GETTYSBURG PA 17325-8236",717-334-8244,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Moto-Tech,J836,"3672 YORK RD , NEW OXFORD PA 17350-9124",717-624-1135,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,M&R Performance And Fabrication Llc,DX23,"825 CRANBERRY RD , ASPERS PA 17304-9766",717-778-2383,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Mummert'S Automotive Llc,BU93,"36 MAIN ST , MC SHERRYSTOWN PA 17344-2104",717-637-4237,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Myers Electrical Repairs Llc,M473,"1785 BIGLERVILLE RD , GETTYSBURG PA 17325-8083",717-334-8105,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Neil Smith Auto Repair,8851,"2700 CARLISLE PIKE , NEW OXFORD PA 17350-9499",717-465-7551,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,"Newell Tire & Service Pros, Llc",FP47,"3480 CHAMBERSBURG RD , BIGLERVILLE PA 17307-9254",717-668-9395,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,New Oxford Mechanic Ser Inc A,7631,"302 COMMERCE ST , NEW OXFORD PA 17350-1723",717-624-2133,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Nick'S Garage Etc Llc,KA87,"5490 HANOVER RD , HANOVER PA 17331-8757",717-637-6236,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Noah'S Autos Llc,EQ82,"1660 CARLISLE PIKE , HANOVER PA 17331-7784",717-698-3534,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,Nolts Mechanical Services Llc,AE88,"3587 OLD HARRISBURG RD , GETTYSBURG PA 17325-7550",717-334-0849,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Ortman Automotive,B883,"180 MOOSE RD , GETTYSBURG PA 17325-8364",717-357-2406,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,"Pascoe'S Garage, Llc",AG68,"515 NORTH ST , MC SHERRYSTOWN PA 17344-1503",717-965-6380,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Pauls Garage Inc,2183,"186 OLD RT 15 , YORK SPRINGS PA 17372",717-528-4132,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Pifer'S Body Shop,EJ26,"2590 CRANBERRY RD , YORK SPRINGS PA 17372",717-528-4186,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Premier Auto Works,BL35,"6285 YORK RD , NEW OXFORD PA 17350-9455",717-479-5651,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,Punch Road Repair Llc,FF98,"195 PUNCH RD , BIGLERVILLE PA 17307-9507",717-357-4948,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Randys Automotive,T409,"235 HUNTERSTOWN RD , GETTYSBURG PA 17325-7695",717-334-3034,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,R.E. Hobbs Cycle Service,J31,"4283 EMMITSBURG RD , FAIRFIELD PA 17320-9318",717-334-6270,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Renn Kirby Chevrolet Buick,AF24,"55 EXPEDITION TRL STE 1 , GETTYSBURG PA 17325-7506",717-334-9234,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Renn Kirby Gettysburg Imports Llc,CQ08,"1510 YORK RD , GETTYSBURG PA 17325-7515",717-334-0126,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Renn Kirby Gettysburg Imports Llc,KV29,"85 V TWIN DR , GETTYSBURG PA 17325-7999",717-334-0126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Restoration & Collision Expert,DR93,"5961 BALTIMORE PIKE , LITTLESTOWN PA 17340-9196",717-359-9900,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Rjc Auto Service,KF03,"5 HICKORY AVE , GETTYSBURG PA 17325-7823",717-688-2123,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Robs Import Auto Repair,KF05,"4940 YORK RD , NEW OXFORD PA 17350-9401",717-688-3424,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Rohrbaugh'S Automotive Llc,FC81,"1155 700 RD , NEW OXFORD PA 17350-9771",717-778-1974,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Rooster'S Auto Repair Llc,BS95,"2215 MUMMASBURG RD , GETTYSBURG PA 17325-7421",717-752-7501,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Route 30 Auto Repair,CX68,"3844 YORK RD , NEW OXFORD PA 17350-9609",717-707-7830,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,R & T Garage,DK95,"60 WALDHEIM RD , NEW OXFORD PA 17350-9724",717-624-4660,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Rudisill'S Auto Repair,DU64,"486 WHITE CHURCH RD , YORK SPRINGS PA 17372-8833",717-528-8400,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ADAMS,Russ Hill Automotive,6440,"935 MOUNTAIN RD , YORK SPRINGS PA 17372-9745",717-528-4730,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Ryder New Oxford,M279,"135 LINCOLN ST , NEW OXFORD PA 17350-8553",717-624-8171,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Sanders Repair Shop Inc,L906,"21 MAPLE ST , GETTYSBURG PA 17325-7815",717-334-1206,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Schwebach Auto Repair Llc,AP82,"428 MAIN ST REAR , MC SHERRYSTOWN PA 17344-1807",717-630-2326,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,"Scott'S Enterprises, Llc",AV53,"6 COLD SPRINGS RD , GETTYSBURG PA 17325-7370",717-642-6293,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,Shawn'S Auto Body And Repair,DH48,"1940 OLD CARLISLE RD , ASPERS PA 17304-9452",717-677-8696,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ADAMS,Shealer'S Garage,AP10,"2750 YORK RD , GETTYSBURG PA 17325-8229",717-334-0609,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ADAMS,Smiths Auto Sales Inc,4670,"221 W HIGH ST , NEW OXFORD PA 17350-1501",717-624-2901,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ADAMS,Somadenterprises Llc,FP97,"940 OLD HARRISBURG RD , GETTYSBURG PA 17325-8521",717-334-6882,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,S & S Garage Llc,AI62,"2939 YORK RD , GETTYSBURG PA 17325-8282",717-334-3445,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,Starner Trucking,BY94,"3220 HUNTERSTN HAMPTON , NEW OXFORD PA 17350",717-339-6346,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,Steve'S Auto & Ag Repair Llc,K619,"500 EXCELSIOR RD , BIGLERVILLE PA 17307-9733",717-677-9374,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
ADAMS,Stone Fleet Solutions Llc,FK92,"80 LINCOLN ST STE 2 , NEW OXFORD PA 17350",717-515-4007,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,S W Guise Repair,2016,"89 UNIVERSITY DR PO BOX 117, BIGLERVILLE PA 17307-0117",717-677-7830,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,The Brethren Home,EJ02,"2990 CARLISLE PIKE , NEW OXFORD PA 17350-9582",717-624-5458,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,The Crash Clinic,AZ34,"2453 CARLISLE PIKE , HANOVER PA 17331-8972",717-646-8500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,The Lady'S Chestnut Hill Farms Llc,FC09,"445 CHESTNUT HILL RD , ASPERS PA 17304-9423",717-677-8196,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,"The Riders Edge, Inc",J225,"2490 EMMITSBURG RD , GETTYSBURG PA 17325-8752",717-334-2518,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADAMS,Therits Auto Repair Llc,FO46,"3588 CENTENNIAL RD , HANOVER PA 17331-9066",717-809-0180,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ADAMS,T&H Motorsports Llc,DI38,"381 KOHLER MILL RD , NEW OXFORD PA 17350-9211",717-400-1434,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,T J Brown And Sons Automotive,AY59,"850 HANOVER PIKE , LITTLESTOWN PA 17340-9585",717-359-5646,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Tom & Dons Auto Repairs,2460,"240 SMITH RD , GETTYSBURG PA 17325-7653",717-334-4872,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Tom Knox Tire & Auto Llc,CE71,"61 BUFORD AVENUE , GETTYSBURG PA 17325",717-253-3021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,Vintage Specialties Ii Llc,0906,"2330 GRANITE STATION RD , GETTYSBURG PA 17325-8356",717-334-7121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMS,Weavers Body Shop Inc,T825,"5670 HANOVER RD , HANOVER PA 17331-9055",717-637-1083,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
ADAMS,Wilkinsons Repair,BM69,"1999 TABLE ROCK RD , BIGLERVILLE PA 17307-9067",717-357-4163,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ADAMS,Wilson Brown Motors,X536,"RT 94-1830 CARLISLE PK , HANOVER PA 17331",717-633-1818,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Wolfe'S New Oxford Auto Center Llc,EB71,"330 LINCOLN WAY E , NEW OXFORD PA 17350-9399",717-624-7306,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
